id,status,one_liner,relation,domain,ai_level,total_score,priority_score,price,rejection_reasons
IDEA-2026-0004,candidate,父母面向学龄儿童：拍餐食，AI结合病史给出吃法建议,父母->学龄儿童,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0001,candidate,成年子女面向老年父母：拍餐食，AI结合病史给出吃法建议,成年子女->老年父母,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0007,candidate,家属面向慢病患者：拍餐食，AI结合病史给出吃法建议,家属->慢病患者,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0005,candidate,父母面向学龄儿童：拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/用药,L2,93,87.2,19.9元/月,
IDEA-2026-0006,candidate,父母面向学龄儿童：拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/作业,L2,93,87.2,19.9元/月,
IDEA-2026-0002,candidate,成年子女面向老年父母：拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0003,candidate,成年子女面向老年父母：拍作业，AI逐题批改并生成同类巩固题,成年子女->老年父母,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0008,candidate,家属面向慢病患者：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0009,candidate,家属面向慢病患者：拍作业，AI逐题批改并生成同类巩固题,家属->慢病患者,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0010,candidate,培训班老师面向学员家长：AI生成学员进步报告并自动发给家长,培训班老师->学员家长,技能/乐器,L2,89,79.6,39.0元/月,
IDEA-2026-0011,candidate,培训班老师面向学员家长：录动作视频，AI评判姿势正确性并给出改进建议,培训班老师->学员家长,技能/健身,L2,89,79.6,39.0元/月,
IDEA-2026-0013,candidate,体育教练面向学员：AI生成学员进步报告并自动发给家长,体育教练->学员,技能/乐器,L2,89,76.6,39.0元/月,
IDEA-2026-0014,candidate,体育教练面向学员：录动作视频，AI评判姿势正确性并给出改进建议,体育教练->学员,技能/健身,L2,89,76.6,39.0元/月,
IDEA-2026-0018,candidate,病友面向病友：病友共同记录症状与诱因，AI识别高风险模式并提醒复查,病友->病友,健康/康复,L3,77,75.8,29.9元/月,
IDEA-2026-0017,candidate,小时工/兼职面向自我利益保护：记录工时与收入，AI自动核算应得工资并生成追款凭证,小时工/兼职->自我利益保护,金钱/工时,L2,83,72.2,19.9元/月,
IDEA-2026-0016,candidate,自己面向体重与饮食管理：拍餐食，AI结合病史给出吃法建议,自己->体重与饮食管理,健康/饮食,L3,78,71.2,29.9元/月,
IDEA-2026-0012,rejected,培训班老师面向学员家长：AI 自动生成阶段报告并支持分享到群内,培训班老师->学员家长,内容/笔记,L1,69,61.6,39.0元/月,ai_level_below_threshold|red_ocean|score_below_threshold
IDEA-2026-0015,rejected,体育教练面向学员：AI 自动生成阶段报告并支持分享到群内,体育教练->学员,内容/笔记,L1,69,58.6,39.0元/月,ai_level_below_threshold|red_ocean|score_below_threshold
IDEA-2026-0019,rejected,病友面向病友：AI 自动生成阶段报告并支持分享到群内,病友->病友,内容/笔记,L1,55,47.0,19.9元/月,ai_level_below_threshold|red_ocean|score_below_threshold
